"event_id","r_event_id","trigger_id","source","host_group","host_group_id","export_month","exported_at_local","severity","severity_id","status","acknowledged","host","host_id","site_code","problem_raw","problem_signature","opdata","started_at_local","started_at_utc","recovered_at_local","recovered_at_utc","duration_seconds","duration_text","action_count","domain","component","scope","tags_text","tags_json","evidence_label"
"1576592845","1576658689","1263742","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","3.2: Battery has high temperature (over 55℃ for 15m)","3.2: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:56:37+07:00","2026-04-30T16:56:37Z","2026-05-01T00:08:36+07:00","2026-04-30T17:08:36Z","719","11m 59s","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576592844","1576658692","1263741","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","3.1: Battery has high temperature (over 55℃ for 15m)","3.1: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:56:37+07:00","2026-04-30T16:56:37Z","2026-05-01T00:08:36+07:00","2026-04-30T17:08:36Z","719","11m 59s","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576592827","1576658691","1263658","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","APC UPS: Battery has high temperature (over 55℃ for 15m)","apc ups: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:56:37+07:00","2026-04-30T16:56:37Z","2026-05-01T00:08:36+07:00","2026-04-30T17:08:36Z","719","11m 59s","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576570803","1576575664","1401465","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM02","17245","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-30T23:51:46+07:00","2026-04-30T16:51:46Z","2026-04-30T23:52:36+07:00","2026-04-30T16:52:36Z","50","50s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1576562390","1576571869","1401487","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM04","17247","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-30T23:51:08+07:00","2026-04-30T16:51:08Z","2026-04-30T23:51:59+07:00","2026-04-30T16:51:59Z","51","51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1576562350","1576571831","1401424","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSGN-VSSPM02","15357","SGN","Git HTTP Monitoring","git http monitoring","","2026-04-30T23:51:05+07:00","2026-04-30T16:51:05Z","2026-04-30T23:51:56+07:00","2026-04-30T16:51:56Z","51","51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1576492361","1576494772","1263658","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","APC UPS: Battery has high temperature (over 55℃ for 15m)","apc ups: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:39:37+07:00","2026-04-30T16:39:37Z","2026-04-30T23:40:37+07:00","2026-04-30T16:40:37Z","60","1m","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576492363","1576494774","1263742","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","3.2: Battery has high temperature (over 55℃ for 15m)","3.2: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:39:36+07:00","2026-04-30T16:39:36Z","2026-04-30T23:40:37+07:00","2026-04-30T16:40:37Z","61","1m 1s","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576492362","1576494773","1263741","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","3.1: Battery has high temperature (over 55℃ for 15m)","3.1: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:39:36+07:00","2026-04-30T16:39:36Z","2026-04-30T23:40:37+07:00","2026-04-30T16:40:37Z","61","1m 1s","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576484030","1576495307","1147426","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMSH-VSDHC01","16501","MSH","Windows: High CPU utilization (over 90% for 5m)","windows: high cpu utilization (over 90% for <value>)","Current utilization: 73.0813 %","2026-04-30T23:37:52+07:00","2026-04-30T16:37:52Z","2026-04-30T23:40:52+07:00","2026-04-30T16:40:52Z","180","3m","0","os","cpu","performance","scope: performance, component: cpu, class: os, target: windows","{""scope"":[""performance""],""component"":[""cpu""],""class"":[""os""],""target"":[""windows""]}","SOURCE FACT"
"1576433964","1576436167","1401426","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSGN-VSSPM03","15358","SGN","Git HTTP Monitoring","git http monitoring","","2026-04-30T23:30:07+07:00","2026-04-30T16:30:07Z","2026-04-30T23:30:58+07:00","2026-04-30T16:30:58Z","51","51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1576433089","1576435504","1401465","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM02","17245","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-30T23:29:46+07:00","2026-04-30T16:29:46Z","2026-04-30T23:30:37+07:00","2026-04-30T16:30:37Z","51","51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1576401854","1576405099","1263742","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","3.2: Battery has high temperature (over 55℃ for 15m)","3.2: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:23:37+07:00","2026-04-30T16:23:37Z","2026-04-30T23:24:36+07:00","2026-04-30T16:24:36Z","59","59s","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576401853","1576405098","1263741","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","3.1: Battery has high temperature (over 55℃ for 15m)","3.1: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:23:37+07:00","2026-04-30T16:23:37Z","2026-04-30T23:24:36+07:00","2026-04-30T16:24:36Z","59","59s","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576366681","1576374596","1401487","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM04","17247","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-30T23:18:08+07:00","2026-04-30T16:18:08Z","2026-04-30T23:18:58+07:00","2026-04-30T16:18:58Z","50","50s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1576299966","1576319593","1147426","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMSH-VSDHC01","16501","MSH","Windows: High CPU utilization (over 90% for 5m)","windows: high cpu utilization (over 90% for <value>)","Current utilization: 73.0813 %","2026-04-30T23:06:53+07:00","2026-04-30T16:06:53Z","2026-04-30T23:10:52+07:00","2026-04-30T16:10:52Z","239","3m 59s","0","os","cpu","performance","scope: performance, component: cpu, class: os, target: windows","{""scope"":[""performance""],""component"":[""cpu""],""class"":[""os""],""target"":[""windows""]}","SOURCE FACT"
"1576290746","1576296224","1263742","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","3.2: Battery has high temperature (over 55℃ for 15m)","3.2: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:05:37+07:00","2026-04-30T16:05:37Z","2026-04-30T23:06:37+07:00","2026-04-30T16:06:37Z","60","1m","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1576290742","1576296223","1263741","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","3.1: Battery has high temperature (over 55℃ for 15m)","3.1: battery has high temperature (over 55℃ for <value>)","Current temperature: 34 ℃","2026-04-30T23:05:36+07:00","2026-04-30T16:05:36Z","2026-04-30T23:06:37+07:00","2026-04-30T16:06:37Z","61","1m 1s","0","power","temperature","notice","scope: notice, component: temperature, class: power, target: apc","{""scope"":[""notice""],""component"":[""temperature""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
